n,MSE
262,3.2864831428914036e-09
263,3.215928666199903e-09
264,3.215928666199903e-09
265,3.1474517131546434e-09
266,3.1474517131546434e-09
267,3.0809757549056403e-09
268,3.0809757549056403e-09
269,3.0164276294645954e-09
270,3.0164276294645954e-09
271,2.953737369961e-09
272,2.953737369961e-09
273,2.8928380428419457e-09
274,2.8928380428419457e-09
275,2.8336655953766163e-09
276,2.8336655953766163e-09
277,2.7761587118614826e-09
278,2.7761587118614826e-09
279,2.720258677977428e-09
280,2.720258677977428e-09
281,2.6659092527793795e-09
282,2.6659092527793795e-09
283,2.6130565478384015e-09
284,2.6130565478384015e-09
285,2.5616489130912972e-09
286,2.5616489130912972e-09
287,2.5116368289789944e-09
288,2.5116368289789944e-09
289,2.462972804490765e-09
290,2.462972804490765e-09
291,2.415611280747259e-09
292,2.415611280747259e-09
293,2.369508539791021e-09
294,2.369508539791021e-09
295,2.3246226182667674e-09
296,2.3246226182667674e-09
297,2.2809132257008725e-09
298,2.2809132257008725e-09
299,2.23834166710367e-09
300,2.2383416671036694e-09
301,2.196870769640766e-09
302,2.196870769640766e-09
303,2.156464813133388e-09
304,2.156464813133388e-09
305,2.117089464164518e-09
306,2.1170894641645176e-09
307,2.0787117135797892e-09
308,2.0787117135797892e-09
309,2.0412998171935003e-09
310,2.0412998171935003e-09
311,2.004823239505975e-09
312,2.004823239505975e-09
313,1.9692526002717173e-09
314,1.9692526002717173e-09
315,1.9345596237493925e-09
316,1.9345596237493925e-09
317,1.9007170904865684e-09
318,1.900717090486568e-09
319,1.867698791497367e-09
320,1.867698791497367e-09
321,1.8354794846980613e-09
322,1.8354794846980613e-09
323,1.8040348534798557e-09
324,1.8040348534798557e-09
325,1.7733414672982746e-09
326,1.7733414672982746e-09
327,1.7433767441700278e-09
328,1.7433767441700278e-09
329,1.7141189149758828e-09
330,1.7141189149758826e-09
331,1.6855469894687973e-09
332,1.6855469894687973e-09
333,1.6576407239023436e-09
334,1.6576407239023436e-09
335,1.6303805901836463e-09
336,1.6303805901836463e-09
337,1.6037477464801937e-09
338,1.6037477464801937e-09
339,1.577724009197599e-09
340,1.5777240091975991e-09
341,1.5522918262578059e-09
342,1.5522918262578059e-09
343,1.5274342516134504e-09
344,1.5274342516134502e-09
345,1.503134920930139e-09
346,1.503134920930139e-09
347,1.479378028378043e-09
348,1.4793780283780428e-09
349,1.4561483044794002e-09
350,1.4561483044794e-09
351,1.4334309949521125e-09
352,1.4334309949521123e-09
353,1.4112118405058154e-09
354,1.4112118405058156e-09
355,1.3894770575357454e-09
356,1.3894770575357456e-09
357,1.368213319677367e-09
358,1.368213319677367e-09
359,1.3474077401712655e-09
360,1.3474077401712655e-09
361,1.3270478550038215e-09
362,1.3270478550038215e-09
363,1.307121606781531e-09
364,1.307121606781531e-09
365,1.2876173293092366e-09
366,1.2876173293092366e-09
367,1.2685237328282421e-09
368,1.2685237328282421e-09
369,1.2498298898942087e-09
370,1.2498298898942087e-09
371,1.2315252218524908e-09
372,1.2315252218524908e-09
373,1.213599485892245e-09
374,1.2135994858922453e-09
375,1.196042762644901e-09
376,1.1960427626449011e-09
377,1.1788454443047625e-09
378,1.1788454443047628e-09
379,1.161998223246763e-09
380,1.1619982232467632e-09
381,1.1454920811151823e-09
382,1.1454920811151823e-09
383,1.1293182783669475e-09
384,1.1293182783669475e-09
385,1.1134683442432909e-09
386,1.1134683442432909e-09
387,1.0979340671519459e-09
388,1.0979340671519459e-09
389,1.082707485441594e-09
390,1.082707485441594e-09
391,1.0677808785504193e-09
392,1.0677808785504193e-09
393,1.053146758511665e-09
394,1.053146758511665e-09
395,1.038797861798003e-09
396,1.038797861798003e-09
397,1.0247271414945798e-09
398,1.0247271414945798e-09
399,1.0109277597802567e-09
400,1.0109277597802569e-09
